input vertices, faces added, faces in hull, points processed, distance queries, sidednessQueries, vertices in hull, time spent, point distribution
16, 4, 4, 4, 13, 49, 4, 0, In Sphere
16, 28, 14, 10, 27, 179, 9, 0, In Sphere
16, 24, 12, 9, 35, 161, 8, 0, In Sphere
16, 37, 20, 12, 28, 187, 12, 0, In Sphere
16, 4, 4, 4, 13, 49, 4, 0, In Sphere
16, 28, 16, 10, 24, 151, 10, 0, In Sphere
16, 30, 16, 11, 40, 180, 10, 0, In Sphere
16, 27, 12, 11, 28, 164, 8, 0, In Sphere
16, 28, 14, 10, 27, 158, 9, 0, In Sphere
16, 30, 18, 12, 25, 152, 11, 0, In Sphere
16, 26, 12, 10, 32, 171, 8, 0, In Sphere
16, 31, 14, 11, 24, 169, 9, 0, In Sphere
16, 31, 14, 11, 24, 169, 9, 0, In Sphere
16, 31, 14, 11, 24, 169, 9, 0, In Sphere
16, 27, 16, 10, 21, 144, 10, 0, In Sphere
65536, 9152, 1282, 1764, 186737, 1166784, 643, 0, In Sphere
65536, 8712, 1342, 1678, 181753, 1213193, 673, 0, In Sphere
2000, 1010, 212, 207, 5487, 26695, 108, 0, In Sphere
2000, 1114, 230, 220, 5762, 29568, 117, 0, In Sphere
2503, 3164, 650, 591, 9290, 50499, 327, 0, In Sphere
2503, 3164, 650, 591, 9290, 50499, 327, 0, In Sphere
1024, 745, 154, 152, 2599, 12211, 79, 0, In Sphere
1024, 756, 174, 163, 2626, 12621, 89, 0, In Sphere
1024, 643, 162, 135, 2674, 12135, 83, 0, In Sphere
1024, 707, 138, 143, 2568, 12911, 71, 0, In Sphere
2503, 4, 4, 8, 4804, 5730, 4, 0, In Sphere
1024, 4, 4, 8, 1772, 2598, 4, 0, In Sphere
1024, 4, 4, 8, 1804, 2544, 4, 0, In Sphere
1024, 4, 4, 8, 1809, 2592, 4, 0, In Sphere
1024, 4, 4, 8, 1750, 2587, 4, 0, In Sphere
1024, 4, 4, 8, 1862, 2496, 4, 0, In Sphere
1024, 4, 4, 8, 1754, 2637, 4, 0, In Sphere
