input vertices, faces added, faces in hull, points processed, distance queries, sidednessQueries, vertices in hull, time spent, point distribution,
10,0,0,0,0,0,0,26, In Sphere,
100,0,0,0,0,0,0,225, In Sphere,
1000,0,0,0,0,0,0,1412, In Sphere,
1500,0,0,0,0,0,0,1999, In Sphere,
2000,0,0,0,0,0,0,2593, In Sphere,
2500,0,0,0,0,0,0,3178, In Sphere,
5000,0,0,0,0,0,0,7625, In Sphere,
7500,0,0,0,0,0,0,13734, In Sphere,
10000,0,0,0,0,0,0,15368, In Sphere,
12500,0,0,0,0,0,0,17650, In Sphere,
15000,0,0,0,0,0,0,27369, In Sphere,
17500,0,0,0,0,0,0,32133, In Sphere,
20000,0,0,0,0,0,0,39071, In Sphere,
25000,0,0,0,0,0,0,50314, In Sphere,
30000,0,0,0,0,0,0,59092, In Sphere,
30000,0,0,0,0,0,0,36636, In Sphere,
10,0,0,0,0,0,0,21, On Sphere,
100,0,0,0,0,0,0,288, On Sphere,
1000,0,0,0,0,0,0,2822, On Sphere,
1500,0,0,0,0,0,0,6589, On Sphere,
2000,0,0,0,0,0,0,14377, On Sphere,
2500,0,0,0,0,0,0,19927, On Sphere,
5000,0,0,0,0,0,0,31486, On Sphere,
7500,0,0,0,0,0,0,24053, On Sphere,
10000,0,0,0,0,0,0,41332, On Sphere,
12500,0,0,0,0,0,0,58064, On Sphere,
15000,0,0,0,0,0,0,45459, On Sphere,
17500,0,0,0,0,0,0,57739, On Sphere,
20000,0,0,0,0,0,0,65080, On Sphere,
25000,0,0,0,0,0,0,83180, On Sphere,
30000,0,0,0,0,0,0,93942, On Sphere,
35000,0,0,0,0,0,0,101700, On Sphere,
40000,0,0,0,0,0,0,116473, On Sphere,
50000,0,0,0,0,0,0,141571, On Sphere,
35000,0,0,0,0,0,0,39132, In Sphere,
40000,0,0,0,0,0,0,42762, In Sphere,
50000,0,0,0,0,0,0,64355, In Sphere,
10,0,0,0,0,0,0,27, In Cube,
100,0,0,0,0,0,0,132, In Cube,
1000,0,0,0,0,0,0,1184, In Cube,
1500,0,0,0,0,0,0,1717, In Cube,
2000,0,0,0,0,0,0,2483, In Cube,
2500,0,0,0,0,0,0,3406, In Cube,
5000,0,0,0,0,0,0,9045, In Cube,
6000,0,0,0,0,0,0,9973, In Cube,
7500,0,0,0,0,0,0,12142, In Cube,
9000,0,0,0,0,0,0,10522, In Cube,
10000,0,0,0,0,0,0,16520, In Cube,
11000,0,0,0,0,0,0,13244, In Cube,
12500,0,0,0,0,0,0,20165, In Cube,
15000,0,0,0,0,0,0,20808, In Cube,
20000,0,0,0,0,0,0,26781, In Cube,
25000,0,0,0,0,0,0,33471, In Cube,
30000,0,0,0,0,0,0,39879, In Cube,
35000,0,0,0,0,0,0,49240, In Cube,
40000,0,0,0,0,0,0,52904, In Cube,
50000,0,0,0,0,0,0,65891, In Cube,
10,0,0,0,0,0,0,18, On Normalized Sphere,
100,0,0,0,0,0,0,337, On Normalized Sphere,
1000,0,0,0,0,0,0,3053, On Normalized Sphere,
1500,0,0,0,0,0,0,5258, On Normalized Sphere,
2000,0,0,0,0,0,0,12405, On Normalized Sphere,
2500,0,0,0,0,0,0,16514, On Normalized Sphere,
5000,0,0,0,0,0,0,27496, On Normalized Sphere,
7500,0,0,0,0,0,0,23085, On Normalized Sphere,
10000,0,0,0,0,0,0,34835, On Normalized Sphere,
11000,0,0,0,0,0,0,34042, On Normalized Sphere,
12000,0,0,0,0,0,0,37024, On Normalized Sphere,
15000,0,0,0,0,0,0,43243, On Normalized Sphere,
20000,0,0,0,0,0,0,54295, On Normalized Sphere,
25000,0,0,0,0,0,0,68117, On Normalized Sphere,
10,0,0,0,0,0,0,30, Many internal, some on sphere
100,0,0,0,0,0,0,163, Many internal, some on sphere
1000,0,0,0,0,0,0,1213, Many internal, some on sphere
1500,0,0,0,0,0,0,1788, Many internal, some on sphere
2000,0,0,0,0,0,0,2281, Many internal, some on sphere
2500,0,0,0,0,0,0,3604, Many internal, some on sphere
3000,0,0,0,0,0,0,5257, Many internal, some on sphere
5000,0,0,0,0,0,0,6946, Many internal, some on sphere
6000,0,0,0,0,0,0,6567, Many internal, some on sphere
6500,0,0,0,0,0,0,7313, Many internal, some on sphere
7000,0,0,0,0,0,0,7990, Many internal, some on sphere
7500,0,0,0,0,0,0,9148, Many internal, some on sphere
8000,0,0,0,0,0,0,13323, Many internal, some on sphere
9000,0,0,0,0,0,0,14294, Many internal, some on sphere
10000,0,0,0,0,0,0,10882, Many internal, some on sphere
