in (qh),% onHull,in (inc),% onHull
10,66.6666666666667,10,46.6666666666667
100,32.5714285714286,100,21.4285714285714
1000,19.2415730337079,1000,15.8282208588957
2000,16.5137614678899,2000,14.0587768069897
5000,14.0419947506562,5000,12.507237984945
10000,14.027397260274,10000,10.6924163918983
20000,11.1909262759924,20000,10.0532859680284
30000,10.4270462633452,30000,10.8364375211649
50000,10.5470953186689,50000,9.29081913139087
100000,8.54373309287647,100000,9.05112851220636
150000,8.54665565648225,150000,8.21465428276574
200000,8.01203686289261,200000,8.41487279843444
300000,6.87919463087248,300000,7.713451297028
500000,6.33501259445844,500000,7.80848814378493
600000,6.02481507993319,600000,7.81557067271353
700000,7.34164462913991,700000,7.73749820891245
800000,6.21606008087811,800000,7.981220657277
900000,5.84574576617017,900000,7.5385419388555
1000000,6.45432565962367,1000000,7.23336853220697
1100000,5.02612826603325,1100000,7.21074641997212
1200000,6.02745381360305,1200000,7.44197780020182
1300000,5.35136724492796,1300000,7.38743258497429
1400000,6.72114167338014,1400000,7.43760810476896
1500000,5.9865492090556,1500000,7.29768786127168
2000000,5.53031626769177,2000000,6.989543203082
3000000,4.89444878811572,3000000,6.49989953787422
4000000,5.05209076637648,4000000,6.69287469287469
5000000,5.00751468779888,5000000,6.40719662199376
