input vertices (qh), time spent (qh),input vertices (inc), time spent (inc)
10,37,10,25
100,353,100,269
1000,1703,1000,2561
2000,2767,2000,4892
5000,5015,5000,17577
10000,11834,10000,29266
20000,20856,20000,45229
30000,28929,30000,79316
50000,40861,50000,198688
100000,82053,100000,600354
150000,124674,150000,948380
200000,170526,200000,1552221
300000,267187,300000,2517614
500000,465668,500000,3620596
600000,610079,600000,4786971
700000,730322,700000,5452998
800000,877613,800000,6488787
900000,970708,900000,7457433
1000000,1095692,1000000,8963389
1100000,1225032,1100000,10703507
1200000,1333339,1200000,12276659
