input vertices (qh), time spent (qh),input vertices (inc), time spent (inc),in (dac),time (dac)
10,38,10,20,10,27
100,393,100,416,100,132
1000,1563,1000,4076,1000,1184
1500,2087,1500,4970,1500,1717
2000,2557,2000,7243,2000,2483
2500,3029,2500,10326,2500,3406
5000,6857,5000,21258,5000,9045
6000,6219,6000,24100,6000,9973
7500,7779,7500,25006,7500,12142
9000,8658,9000,28570,9000,10522
10000,9364,10000,32813,10000,16520
11000,10590,11000,35506,11000,13244
12500,11036,12500,39525,12500,20165
15000,13086,15000,48159,15000,20808
20000,17638,20000,67300,20000,26781
25000,19112,25000,89024,25000,33471
30000,22376,30000,109091,30000,39879
35000,23546,35000,135924,35000,49240
40000,25684,40000,190268,40000,52904
50000,33828,50000,270366,50000,65891
