input vertices (qh),time spent (qh),input vertices (inc), time spent (inc),input (dac),time (dac)
10,37,10,19,2,0
100,328,100,365,4,12
1000,1876,1000,2625,8,11
1500,2441,1500,3502,16,11
2000,3077,2000,5022,32,23
2500,4097,2500,7195,64,55
5000,6204,5000,19712,128,81
7500,11934,7500,25093,256,177
10000,14768,10000,30120,512,351
12500,15965,12500,35698,1024,646
15000,19396,15000,43673,2048,1279
17500,15776,17500,52104,4096,2726
20000,25555,20000,67445,8192,5348
25000,25691,25000,86425,16384,16276
30000,34844,30000,119003,32768,29680
,,,,65536,52480
