input vertices (qh), time spent (qh),input vertices (inc), time spent (inc),in (dac),time (dac)
10,79,10,21,0,0
100,1050,100,855,12,5
1000,14791,1000,8570,11,8
1500,26390,1500,19176,11,16
2000,37248,2000,24524,23,36
2500,48708,2500,29061,55,109
5000,132314,5000,55707,81,160
7500,246988,7500,81425,177,389
10000,420334,10000,119716,351,749
12500,648370,12500,154609,646,1719
15000,904679,15000,180194,1279,4235
17500,1252368,17500,214238,2726,11149
20000,1619469,20000,250987,5348,24025
25000,2609236,25000,335622,16276,46290
30000,3954112,30000,423180,29680,88669
35000,5904560,35000,513906,52480,184782
40000,7443948,40000,713042,,
50000,13512846,50000,1223257,,
