in (qh),processed (qh),in (inc),processed (inc)
10,10,10,10
100,100,100,100
1000,1000,1000,1000
1500,1500,1500,1500
2000,2000,2000,2000
2500,2500,2500,2500
5000,4999,5000,5000
6000,6000,6000,6000
7000,7000,7000,7000
8000,7999,8000,8000
9000,8999,9000,9000
10000,9999,10000,10000
11000,10999,11000,11000
12000,11999,12000,12000
15000,14999,15000,15000
20000,19999,20000,20000
25000,24999,25000,25000
30000,29996,30000,29999
35000,34996,35000,34999
40000,39995,40000,39999
50000,49991,50000,49998
60000,59985,60000,59998
