input vertices, faces added, faces in hull, points processed, distance queries, sidednessQueries, vertices in hull, time spent, point distribution
10, 18, 11, 8, 13, 95, 7, 37, In Sphere
100, 142, 46, 36, 248, 1781, 25, 328, In Sphere
1000, 715, 158, 147, 2657, 20172, 81, 1876, In Sphere
2000, 1083, 222, 221, 5307, 41197, 113, 3077, In Sphere
5000, 1965, 360, 385, 13036, 112136, 182, 6204, In Sphere
10000, 3091, 525, 600, 26991, 250266, 264, 14768, In Sphere
20000, 4635, 732, 896, 53159, 542537, 368, 25555, In Sphere
30000, 5875, 890, 1136, 79512, 850584, 447, 34844, In Sphere
50000, 8094, 1152, 1548, 130107, 1518313, 578, 53582, In Sphere
100000, 12213, 1624, 2317, 262511, 3443182, 814, 112205, In Sphere
150000, 15187, 1986, 2893, 400689, 5579979, 995, 176087, In Sphere
200000, 18212, 2312, 3454, 512862, 7600250, 1158, 236426, In Sphere
300000, 23116, 2838, 4379, 783619, 12421388, 1421, 404501, In Sphere
500000, 30285, 3610, 5725, 1348807, 22316576, 1807, 705314, In Sphere
600000, 33993, 3944, 6425, 1592788, 27562187, 1974, 888334, In Sphere
700000, 36902, 4282, 6970, 1828455, 33116854, 2143, 1099078, In Sphere
800000, 40098, 4557, 7553, 2099695, 39713117, 2280, 1285925, In Sphere
900000, 42649, 4895, 8029, 2314805, 45498591, 2444, 1473578, In Sphere
1000000, 45604, 5135, 8573, 2629489, 50805345, 2566, 1691654, In Sphere
1100000, 47148, 5287, 8886, 2925989, 56947258, 2643, 1889565, In Sphere
1200000, 50401, 5637, 9499, 3125550, 63408670, 2820, 2125874, In Sphere
1300000, 51239, 5686, 9701, 4413211, 67612866, 2845, 2418840, In Sphere
1400000, 54810, 5987, 10339, 3851462, 75883990, 2996, 2501604, In Sphere
1500000, 56701, 6212, 10663, 3939467, 82955034, 3106, 2758583, In Sphere
2000000, 66963, 7140, 12575, 5340639, 114853886, 3571, 4023273, In Sphere
3000000, 84884, 8886, 15944, 7839103, 191318460, 4443, 6465356, In Sphere
4000000, 100412, 10213, 18732, 10693644, 261848961, 5094, 9346477, In Sphere
5000000, 110882, 11372, 20790, 12810226, 329483592, 5687, 11690944, In Sphere
6000000, 124743, 12487, 23284, 15616100, 422343936, 6228, 15088659, In Sphere
7000000, 129591, 13020, 24317, 20722758, 486006173, 6511, 18767406, In Sphere
8000000, 136394, 13168, 25534, 21974678, 552197838, 6583, 20260475, In Sphere
9000000, 153164, 14973, 28632, 23756405, 663583511, 7487, 23867470, In Sphere
10000000, 161165, 15794, 30139, 26834025, 738906121, 7898, 26035446, In Sphere
10, 28, 16, 10, 17, 146, 10, 51, On Sphere
100, 518, 196, 100, 435, 4291, 100, 1149, On Sphere
1000, 5799, 1996, 1000, 5878, 58493, 1000, 14670, On Sphere
1500, 8752, 2996, 1500, 9141, 91399, 1500, 24612, On Sphere
2000, 11726, 3996, 2000, 12629, 125242, 2000, 34097, On Sphere
2500, 14747, 4996, 2500, 16296, 160947, 2500, 46323, On Sphere
5000, 29763, 9995, 4999, 34241, 341824, 4999, 129489, On Sphere
6000, 35865, 11996, 6000, 41615, 420102, 6000, 171999, On Sphere
7000, 41812, 13996, 7000, 49014, 494717, 7000, 210712, On Sphere
8000, 47944, 15995, 7999, 56582, 571498, 7999, 262755, On Sphere
9000, 53994, 17995, 8999, 64649, 655460, 8999, 321517, On Sphere
10000, 60002, 19995, 9999, 71765, 736069, 9999, 387168, On Sphere
11000, 66145, 21995, 10999, 79384, 813901, 10999, 463391, On Sphere
12000, 72210, 23994, 11999, 87615, 886677, 11999, 552673, On Sphere
15000, 90406, 29995, 14999, 110831, 1142997, 14999, 843985, On Sphere
20000, 121024, 39994, 19999, 152445, 1572289, 19999, 1489690, On Sphere
25000, 151350, 49994, 24999, 191952, 2010753, 24999, 2291612, On Sphere
30000, 181773, 59988, 29996, 232101, 2422223, 29996, 3397550, On Sphere
35000, 212439, 69989, 34996, 276467, 2870070, 34996, 5059356, On Sphere
40000, 242783, 79987, 39995, 317909, 3316834, 39995, 6807008, On Sphere
50000, 303891, 99977, 49991, 404289, 4270042, 49990, 11085598, On Sphere
60000, 364334, 119965, 59985, 490176, 5130577, 59984, 16841902, On Sphere
70000, 425681, 139942, 69974, 574499, 6112527, 69973, 25056116, On Sphere
80000, 486159, 159878, 79945, 664512, 7081518, 79941, 37019776, On Sphere
90000, 547983, 179897, 89952, 750844, 8106763, 89950, 49437913, On Sphere
