input vertices, faces added, faces in hull, points processed, distance queries, sidednessQueries, vertices in hull, time spent, point distribution,,,,
10,17,10,8,15,90,7,233, In Sphere,,"7,01399889897076",,"7,01399889897076"
100,155,50,38,273,2031,27,2430, In Sphere,,"3,65751444731737",,
1000,704,166,149,2830,20266,85,8188, In Sphere,,"0,821611201498892",,
2000,969,202,201,5662,40932,103,10203, In Sphere,,"0,465219802575863",,
5000,1881,354,376,12091,98752,179,21896, In Sphere,,"0,356388550181915",,
10000,2992,490,594,27677,235662,247,38399, In Sphere,,"0,28898127008753",,
20000,4562,739,885,55400,553055,369,80124, In Sphere,,"0,280394782144007",,
30000,6092,920,1154,78887,744631,462,102378, In Sphere,,"0,229454353535758",,
50000,8330,1140,1613,137050,1536769,572,240923, In Sphere,,"0,308684880211749",,
100000,11787,1672,2250,273511,3386820,838,370614, In Sphere,,"0,223131861626021",,
150000,15116,1998,2881,361943,6220652,1001,585590, In Sphere,,"0,227044110234681",,
200000,17597,2378,3369,495061,7809973,1191,834711, In Sphere,,"0,237003986881991",,
300000,22246,2822,4207,800170,11891450,1413,1244259, In Sphere,,"0,227953861134691",,
500000,30745,3520,5783,1349655,22145059,1762,2221568, In Sphere,,"0,234694551786874",,
600000,35043,4020,6645,1590080,25933192,2012,2791348, In Sphere,,"0,242372643637782",,
700000,36518,4374,6934,1849926,31872008,2189,3468168, In Sphere,,"0,255164386307689",,
800000,39228,4624,7425,2081061,38090291,2314,3954943, In Sphere,,"0,252104507292961",,
1000000,46312,5158,8718,2809210,53780226,2581,5295314, In Sphere,,"0,26567472507657",,
