10,82,10,153
100,1816,100,4339
1000,15179,1000,56676
2000,28238,2000,113416
5000,74121,5000,287182
10000,137366,10000,573514
20000,314887,20000,1182782
30000,425471,30000,1692965
50000,727888,50000,3165451
100000,1557814,100000,5754163
150000,2192836,150000,9042713
200000,3225959,200000,11425733
300000,5016334,300000,18588409
500000,8254997,500000,32365581
600000,10782945,600000,35714740
700000,11827942,700000,40496435
800000,14626506,800000,44606756
900000,16537934,900000,53053495
1000000,18560344,1000000,58788904
1100000,18211127,1100000,66161776
1200000,20938022,1200000,70914652
1300000,24119893,1300000,75499049
1400000,24895452,1400000,83746157
1500000,25763625,1500000,78327520
2000000,37278342,2000000,122322117
3000000,59304939,3000000,180856931
4000000,76045231,4000000,234808148
5000000,85317665,5000000,290785624
