10,147,10,170
100,4285,100,6253
1000,59069,1000,114496
1500,92502,1500,185338
2000,128151,2000,265135
2500,161375,2500,343601
5000,344718,5000,766849
6000,420249,6000,961741
7000,496589,7000,1146545
8000,572325,8000,1325253
9000,655257,9000,1500270
10000,727664,10000,1670902
11000,810848,11000,1947519
12000,896470,12000,2079555
15000,1133989,15000,2678296
20000,1551316,20000,3747521
25000,1982447,25000,4847251
30000,2403311,30000,5829870
35000,2847106,35000,6977194
40000,3278604,40000,8071545
50000,4013847,50000,10367100
60000,5074691,60000,12773127
